Demanda,C1r,C2r,C3r
155,0.508142882212975,0.444625021936353,0.381107161659731
155,0.505839362274288,0.442609441990002,0.379379521705716
155,0.503669566975047,0.440710871103166,0.377752175231285
290.367395283206,0.555170477661432,0.485774167953753,0.416377858246074
278.992583180374,0.594057357306109,0.519800187642845,0.445543017979582
27.3588538151037,0.617293997714897,0.540132248000535,0.462970498286173
185.564485442862,0.646735368186974,0.565893447163602,0.485051526140231
96.1974142561981,0.668888511197129,0.585277447297488,0.501666383397847
210.147426673894,0.694408437218826,0.607607382566473,0.52080632791412
57.6559951390916,0.726731417934664,0.635889990692831,0.545048563450998
304.395677776343,0.726432073581779,0.635628064384056,1000
310,0.516214975086563,0.451688103200742,1000
310,0.5495489131374,0.480855298995225,1000
445.367395283206,0.588247838878702,0.514716859018864,1000
433.992583180374,0.607116843503944,0.531227238065951,1000
182.358853815104,0.617395041693318,0.540220661481653,0.463046281269988
340.564485442862,0.651840296832231,0.570360259728202,1000
251.197414256198,0.670535805044116,0.586718829413601,0.502901853783087
365.147426673894,0.694495139624136,0.607683247171119,1000
212.655995139092,0.726833662359066,0.635979454564182,0.545125246769299
459.395677776343,0.728477227575348,0.637417574128429,1000
310,0.539173502789291,0.471776814940629,1000
445.367395283206,0.579064670594886,0.506681586770525,1000
433.992583180374,0.601145234359345,0.526002080064427,1000
182.358853815104,0.617703976036093,0.540490979031581,0.46327798202707
340.564485442862,0.648688996811586,0.567602872210138,1000
251.197414256198,0.673184222565998,0.589036194745248,0.504888166924499
365.147426673894,0.694645359391153,0.607814689467259,1000
212.655995139092,0.7269068188239,0.636043466470913,0.545180114117925
459.395677776343,0.726906455822518,0.636043148844703,1000
445.367395283206,0.555796847851949,0.486322241870456,1000
433.992583180374,0.595464384490781,0.521031336429434,1000
182.358853815104,0.632797209861949,0.553697558629205,0.474597907396462
340.564485442862,0.650116355028772,0.568851810650175,1000
251.197414256198,0.692147037552191,0.605628657858167,0.519110278164143
365.147426673894,0.705344518980989,0.617176454108365,1000
212.655995139092,0.736398345923393,0.644348552682969,0.552298759442545
459.395677776343,0.730672472106489,0.639338413093178,1000
569.35997846358,0.601202193056666,0.526051918924582,1000
317.72624909831,0.647902989739481,0.566915116022046,1000
475.931880726068,0.655596100601862,0.573646588026629,1000
386.564809539404,0.706985109392922,0.618611970718807,1000
500.5148219571,0.714130361490563,0.624864066304243,1000
